phase,candidate_id,net_pnl,pnl_without_best_trade,pnl_without_top3_trades,pnl_without_top5_trades,pnl_without_best_day,pnl_without_top3_days,pnl_without_top5_days,positive_without_best_trade,positive_without_top3_trades,positive_without_top5_trades,positive_without_best_day,positive_without_top3_days,positive_without_top5_days
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,2955.14,2049.38,857.36,34.84,2049.38,857.36,34.84,True,True,True,True,True,True
phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,1366.61,1005.85,324.33,-306.69,1005.85,324.33,-220.45,True,True,False,True,True,False
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,1006.49,779.73,373.71,53.19,779.73,373.71,53.19,True,True,True,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,2955.14,2049.38,857.36,34.84,2049.38,857.36,34.84,True,True,True,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,2730.48,1824.72,632.7,-189.82,1824.72,632.7,-189.82,True,True,False,True,True,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,2730.48,1824.72,632.7,-189.82,1824.72,632.7,-189.82,True,True,False,True,True,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,2517.19,1611.43,729.91,-66.11,1611.43,729.91,-66.11,True,True,False,True,True,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,2517.19,1611.43,729.91,-66.11,1611.43,729.91,-66.11,True,True,False,True,True,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,1943.33,1480.57,658.05,-39.47,1480.57,658.05,-39.47,True,True,False,True,True,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,1943.33,1480.57,658.05,-39.47,1480.57,658.05,-39.47,True,True,False,True,True,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2292.53,1386.77,505.25,-291.27,1386.77,505.25,-291.27,True,True,False,True,True,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,2292.53,1386.77,505.25,-291.27,1386.77,505.25,-291.27,True,True,False,True,True,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,1752.41,1289.65,467.13,-317.89,1289.65,467.13,-317.89,True,True,False,True,True,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,1752.41,1289.65,467.13,-317.89,1289.65,467.13,-317.89,True,True,False,True,True,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,1799.48,1336.72,514.2,-183.32,1336.72,514.2,-183.32,True,True,False,True,True,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,1799.48,1336.72,514.2,-183.32,1336.72,514.2,-183.32,True,True,False,True,True,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,1608.56,1145.8,323.28,-461.74,1145.8,323.28,-461.74,True,True,False,True,True,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,1608.56,1145.8,323.28,-461.74,1145.8,323.28,-461.74,True,True,False,True,True,False
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,1643.5,1062.74,227.72,-342.3,1062.74,227.72,-342.3,True,True,False,True,True,False
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,1643.5,1062.74,227.72,-342.3,1062.74,227.72,-342.3,True,True,False,True,True,False
