portfolio_set,portfolio_mode,phase13a_net_contribution,phase13a_trade_count,phase13a_active_days,incremental_active_days_from_phase13a,phase13a_days_existing_no_trade,phase13a_days_existing_negative_pnl,phase13a_overlap_skipped,phase13a_session_skipped
audit_a_best_reconstructed,raw_sum_diagnostic,0.0,0,0,0,0,0,0,0
audit_a_best_reconstructed,one_trade_at_a_time_chronological,0.0,0,0,0,0,0,39,0
audit_a_best_reconstructed,max_one_trade_per_session,0.0,0,0,0,0,0,0,193
audit_a_best_plus_phase13a,raw_sum_diagnostic,1762.0,246,123,37,37,37,0,0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,684.57,116,112,47,37,37,183,0
audit_a_best_plus_phase13a,max_one_trade_per_session,1089.93,94,94,94,37,29,0,402
top_cross_family_plus_phase13a,raw_sum_diagnostic,1762.0,246,123,19,19,47,0,0
top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,407.95,97,95,25,19,41,165,0
top_cross_family_plus_phase13a,max_one_trade_per_session,164.68,50,50,50,19,13,0,318
diversifier_only_phase13a,raw_sum_diagnostic,1762.0,246,123,123,123,0,0,0
diversifier_only_phase13a,one_trade_at_a_time_chronological,399.68,127,123,123,123,0,119,0
diversifier_only_phase13a,max_one_trade_per_session,879.0,123,123,123,123,0,0,123
all_parked_modules_with_phase13a,raw_sum_diagnostic,1762.0,246,123,35,35,37,0,0
all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,819.67,94,92,36,35,30,689,0
all_parked_modules_with_phase13a,max_one_trade_per_session,148.74,49,49,49,35,8,0,1234
rare_plus_diversifier_modules,raw_sum_diagnostic,1762.0,246,123,68,68,23,0,0
rare_plus_diversifier_modules,one_trade_at_a_time_chronological,691.59,118,114,73,68,21,152,0
rare_plus_diversifier_modules,max_one_trade_per_session,1141.97,98,98,98,68,15,0,256
greedy_low_correlation_with_phase13a,raw_sum_diagnostic,879.0,123,123,8,8,46,0,0
greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,677.77,93,93,12,8,40,81,0
greedy_low_correlation_with_phase13a,max_one_trade_per_session,-58.58,45,45,45,8,16,0,393
