portfolio_set,portfolio_mode,max_drawdown
audit_b_best_reconstructed,raw_sum_diagnostic,-1222.71
audit_b_best_reconstructed,one_trade_at_a_time_chronological,-1117.99
audit_b_best_reconstructed,max_one_trade_per_session,-1050.04
audit_b_best_plus_phase14a,raw_sum_diagnostic,-1602.13
audit_b_best_plus_phase14a,one_trade_at_a_time_chronological,-1480.67
audit_b_best_plus_phase14a,max_one_trade_per_session,-1054.78
audit_b_best_plus_phase13a_and_phase14a,raw_sum_diagnostic,-2601.95
audit_b_best_plus_phase13a_and_phase14a,one_trade_at_a_time_chronological,-1401.04
audit_b_best_plus_phase13a_and_phase14a,max_one_trade_per_session,-2121.16
top_cross_family_plus_13a_14a,raw_sum_diagnostic,-3103.65
top_cross_family_plus_13a_14a,one_trade_at_a_time_chronological,-1460.55
top_cross_family_plus_13a_14a,max_one_trade_per_session,-1564.49
diversifier_only_13a_14a,raw_sum_diagnostic,-3250.94
diversifier_only_13a_14a,one_trade_at_a_time_chronological,-2373.24
diversifier_only_13a_14a,max_one_trade_per_session,-1308.21
prior_level_diversifiers_only,raw_sum_diagnostic,-3250.94
prior_level_diversifiers_only,one_trade_at_a_time_chronological,-2373.24
prior_level_diversifiers_only,max_one_trade_per_session,-1308.21
all_parked_modules_with_13a_14a,raw_sum_diagnostic,-5488.48
all_parked_modules_with_13a_14a,one_trade_at_a_time_chronological,-7476.15
all_parked_modules_with_13a_14a,max_one_trade_per_session,-1583.2
greedy_low_correlation_with_14a,raw_sum_diagnostic,-1836.01
greedy_low_correlation_with_14a,one_trade_at_a_time_chronological,-1629.39
greedy_low_correlation_with_14a,max_one_trade_per_session,-1547.53
