portfolio_set,regime_day_set,regime_days,phase16a_days_with_contribution,phase16a_helped_days,phase16a_hurt_days,phase16a_net_pnl_on_regime_days
scheduler_d_best_reconstructed,weak_fold,248,30,14,16,1109.06
scheduler_d_best_reconstructed,high_vol_mixed,232,22,11,11,1498.1
scheduler_d_best_plus_phase16a,weak_fold,248,30,14,16,1109.06
scheduler_d_best_plus_phase16a,high_vol_mixed,232,22,11,11,1498.1
portfolio_d_best_plus_phase16a,weak_fold,248,30,14,16,1109.06
portfolio_d_best_plus_phase16a,high_vol_mixed,232,22,11,11,1498.1
top_cross_family_plus_13a_14a_15a_16a,weak_fold,248,30,14,16,1109.06
top_cross_family_plus_13a_14a_15a_16a,high_vol_mixed,232,22,11,11,1498.1
rare_modules_only,weak_fold,248,30,14,16,1109.06
rare_modules_only,high_vol_mixed,232,22,11,11,1498.1
phase16a_only,weak_fold,248,30,14,16,1109.06
phase16a_only,high_vol_mixed,232,22,11,11,1498.1
diversifier_modules_all,weak_fold,248,30,14,16,1109.06
diversifier_modules_all,high_vol_mixed,232,22,11,11,1498.1
greedy_low_correlation_with_phase16a,weak_fold,248,30,14,16,1109.06
greedy_low_correlation_with_phase16a,high_vol_mixed,232,22,11,11,1498.1
weak_regime_focused_mix,weak_fold,248,30,14,16,1109.06
weak_regime_focused_mix,high_vol_mixed,232,22,11,11,1498.1
