priority_policy,portfolio_mode,diagnostic_filter,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,1.0,1.0,1.0,1.0
concentration_adjusted_priority,max_one_trade_per_session,no_filter_baseline,0.281527,0.281527,0.669804,0.975341
concentration_adjusted_priority,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,1.0,1.0,1.0,1.0
concentration_adjusted_priority,one_trade_at_a_time_chronological,no_filter_baseline,1.0,1.0,1.0,1.0
core_then_diversifier,max_one_trade_per_session,exclude_overlap_heavy_days,1.0,1.0,1.0,1.0
core_then_diversifier,max_one_trade_per_session,no_filter_baseline,0.305909,0.305909,0.727813,1.059812
core_then_diversifier,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,1.0,1.0,1.0,1.0
core_then_diversifier,one_trade_at_a_time_chronological,no_filter_baseline,1.0,1.0,1.0,1.0
diversifier_first,max_one_trade_per_session,exclude_overlap_heavy_days,1.0,1.0,1.0,1.0
diversifier_first,max_one_trade_per_session,no_filter_baseline,0.329558,0.329558,0.784078,1.141743
diversifier_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,1.0,1.0,1.0,1.0
diversifier_first,one_trade_at_a_time_chronological,no_filter_baseline,1.0,1.0,1.0,1.0
existing_priority_baseline,max_one_trade_per_session,exclude_overlap_heavy_days,1.0,1.0,1.0,1.0
existing_priority_baseline,max_one_trade_per_session,no_filter_baseline,0.276841,0.276841,0.658655,0.959106
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,1.0,1.0,1.0,1.0
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,1.0,1.0,1.0,1.0
highest_recent_validation_first,max_one_trade_per_session,exclude_overlap_heavy_days,1.0,1.0,1.0,1.0
highest_recent_validation_first,max_one_trade_per_session,no_filter_baseline,0.316671,0.316671,0.753416,1.097094
highest_recent_validation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,1.0,1.0,1.0,1.0
highest_recent_validation_first,one_trade_at_a_time_chronological,no_filter_baseline,1.0,1.0,1.0,1.0
hybrid_validation_then_correlation,max_one_trade_per_session,exclude_overlap_heavy_days,1.0,1.0,1.0,1.0
hybrid_validation_then_correlation,max_one_trade_per_session,no_filter_baseline,0.264087,0.264087,0.628311,0.91492
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,1.0,1.0,1.0,1.0
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,no_filter_baseline,1.0,1.0,1.0,1.0
lowest_correlation_first,max_one_trade_per_session,exclude_overlap_heavy_days,1.0,1.0,1.0,1.0
lowest_correlation_first,max_one_trade_per_session,no_filter_baseline,0.264087,0.264087,0.628311,0.91492
lowest_correlation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,1.0,1.0,1.0,1.0
lowest_correlation_first,one_trade_at_a_time_chronological,no_filter_baseline,1.0,1.0,1.0,1.0
rare_setup_first,max_one_trade_per_session,exclude_overlap_heavy_days,1.0,1.0,1.0,1.0
rare_setup_first,max_one_trade_per_session,no_filter_baseline,0.264087,0.264087,0.628311,0.91492
rare_setup_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,1.0,1.0,1.0,1.0
rare_setup_first,one_trade_at_a_time_chronological,no_filter_baseline,1.0,1.0,1.0,1.0
